word,reason,source
inl,misspelled,26考研英语一考试大纲-45-R-1-inl
aara,misspelled,26考研英语一考试大纲-51-R-17-aara
exemplity,misspelled,26考研英语一考试大纲-83-R-13-exemplity
tantasy,misspelled,26考研英语一考试大纲-85-R-10-tantasy
favou rite,misspelled,26考研英语一考试大纲-86-L-8-favo(u) rite
hono u)r,misspelled,26考研英语一考试大纲-96-R-7-hono u)r
humourous,misspelled,26考研英语一考试大纲-97-R-4-humo(u)rous
marvel ous,misspelled,26考研英语一考试大纲-109-R-16-marvel( )ous
m llimetre,misspelled,26考研英语一考试大纲-111-R-13-m llimetre / -ter
gasole,misspelled,26考研英语一考试大纲-123-L-6-petrol / gasoline / gasole
policewoma,misspelled,26考研英语一考试大纲-125-L-3-policeman / policewoma
dools,misspelled,26考研英语一考试大纲-147-R-19-dools
